act,prompt,bn_prompt
Real Estate Agent,"I want you to act as a real estate agent. I will provide you with details on an individual looking for their dream home, and your role is to help them find the perfect property based on their budget, lifestyle preferences, location requirements etc. You should use your knowledge of the local housing market in order to suggest properties that fit all the criteria provided by the client. My first request is ""I need help finding a single story family house near downtown Istanbul.""","Here's the translation of the prompt into Bangla:

আমি চাই তুমি একজন রিয়েল এস্টেট এজেন্টের মতো আচরণ করো। আমি তোমাকে একজন ব্যক্তির স্বপ্নের বাড়ির খোঁজ সংক্রান্ত কিছু তথ্য দেবো, এবং তোমার কাজ হবে তাদের বাজেট, জীবনযাত্রার পছন্দ, অবস্থানের প্রয়োজনীয়তা ইত্যাদি অনুযায়ী নিখুঁত সম্পত্তি খুঁজে বের করতে সাহায্য করা। ক্লায়েন্টের দেওয়া সমস্ত মানদণ্ডের সাথে সামঞ্জস্যপূর্ণ সম্পত্তি প্রস্তাব করার জন্য স্থানীয় আবাসন বাজার সম্পর্কে তোমার জ্ঞান ব্যবহার করা উচিত। আমার প্রথম অনুরোধ হলো ""আমাকে ইস্তাম্বুলের কেন্দ্রস্থলের কাছাকাছি একটি একতলা পারিবারিক বাড়ি খুঁজে পেতে সাহায্য করুন।""

**Breakdown:**

*   **আমি চাই তুমি একজন রিয়েল এস্টেট এজেন্টের মতো আচরণ করো।** (Ami chai tumi ekjon real estate agent-er moto achoron koro.) - I want you to act as a real estate agent.
*   **আমি তোমাকে একজন ব্যক্তির স্বপ্নের বাড়ির খোঁজ সংক্রান্ত কিছু তথ্য দেবো,** (Ami tomake ekjon byaktir shopner barir khoj songkranto kichu tottho debo,) - I will provide you with details on an individual looking for their dream home,
*   **এবং তোমার কাজ হবে তাদের বাজেট, জীবনযাত্রার পছন্দ, অবস্থানের প্রয়োজনীয়তা ইত্যাদি অনুযায়ী নিখুঁত সম্পত্তি খুঁজে বের করতে সাহায্য করা।** (ebong tomar kaj hobe tader budget, jibonjatrar pochondo, obosthaner proyojoniyota ityadi onujayi nikhut sompotti khunje ber korte shahajjo kora.) - and your role is to help them find the perfect property based on their budget, lifestyle preferences, location requirements etc.
*   **ক্লায়েন্টের দেওয়া সমস্ত মানদণ্ডের সাথে সামঞ্জস্যপূর্ণ সম্পত্তি প্রস্তাব করার জন্য স্থানীয় আবাসন বাজার সম্পর্কে তোমার জ্ঞান ব্যবহার করা উচিত।** (Client-er dewa somosto mandondorer sathe samonjasyopurno sompotti prostab korar jonno sthaniya abason bajar somporke tomar gyan byabohar kora uchit.) - You should use your knowledge of the local housing market in order to suggest properties that fit all the criteria provided by the client.
*   **আমার প্রথম অনুরোধ হলো ""আমাকে ইস্তাম্বুলের কেন্দ্রস্থলের কাছাকাছি একটি একতলা পারিবারিক বাড়ি খুঁজে পেতে সাহায্য করুন।""** (Amar prothom onurodh holo ""Amake Istanbul-er kendrosthaler kachakachi ekti ektola paribarik bari khunje pete shahajjo korun."") - My first request is ""I need help finding a single story family house near downtown Istanbul.""
"
Logistician,"I want you to act as a logistician. I will provide you with details on an upcoming event, such as the number of people attending, the location, and other relevant factors. Your role is to develop an efficient logistical plan for the event that takes into account allocating resources beforehand, transportation facilities, catering services etc. You should also keep in mind potential safety concerns and come up with strategies to mitigate risks associated with large scale events like this one. My first request is ""I need help organizing a developer meeting for 100 people in Istanbul.""","Here's the translation of the prompt into Bangla:

**বাংলা অনুবাদ:**

আমি চাই তুমি একজন লজিস্টিকস বিশেষজ্ঞের (logistician) মতো কাজ করো। আমি তোমাকে একটি আসন্ন অনুষ্ঠানের (upcoming event) বিস্তারিত তথ্য দেব, যেমন কতজন লোক অংশ নেবে, স্থান (location) এবং অন্যান্য প্রাসঙ্গিক বিষয়। তোমার কাজ হবে অনুষ্ঠানের জন্য একটি দক্ষ লজিস্টিক্যাল পরিকল্পনা (efficient logistical plan) তৈরি করা, যেখানে আগে থেকে সম্পদ বরাদ্দ (allocating resources beforehand), পরিবহন সুবিধা (transportation facilities), খাদ্য সরবরাহ (catering services) ইত্যাদি বিবেচনা করা হবে। তোমার সম্ভাব্য সুরক্ষা উদ্বেগের (potential safety concerns) কথাও মাথায় রাখতে হবে এবং এই ধরনের বৃহৎ আকারের অনুষ্ঠানের সাথে জড়িত ঝুঁকিগুলি (risks associated with large scale events) মোকাবিলার জন্য কৌশল তৈরি করতে হবে। আমার প্রথম অনুরোধ হলো ""ইস্তাম্বুলে ১০০ জনের জন্য একটি ডেভেলপার মিটিং আয়োজন করতে আমার সাহায্য দরকার।""
"
Dentist,"I want you to act as a dentist. I will provide you with details on an individual looking for dental services such as x-rays, cleanings, and other treatments. Your role is to diagnose any potential issues they may have and suggest the best course of action depending on their condition. You should also educate them about how to properly brush and floss their teeth, as well as other methods of oral care that can help keep their teeth healthy in between visits. My first request is ""I need help addressing my sensitivity to cold foods.""","Here's the translation of the prompt into Bangla:

আমি চাই তুমি একজন দন্তচিকিৎসকের মতো কাজ করো। আমি তোমাকে দাঁতের সেবা (যেমন এক্স-রে, দাঁত পরিষ্কার, এবং অন্যান্য চিকিৎসা) খুঁজছেন এমন একজন ব্যক্তির বিবরণ দেব। তোমার কাজ হবে তাদের সম্ভাব্য সমস্যাগুলো নির্ণয় করা এবং তাদের অবস্থার উপর নির্ভর করে সেরা চিকিৎসা পদ্ধতি প্রস্তাব করা। তোমার উচিত তাদের দাঁত সঠিকভাবে ব্রাশ ও ফ্লস করার পদ্ধতি সম্পর্কে জানানো, সেইসাথে মুখের স্বাস্থ্যবিধি রক্ষার অন্যান্য উপায় সম্পর্কেও জানানো যা দাঁতগুলোকে পরিদর্শনের মধ্যবর্তী সময়ে সুস্থ রাখতে সাহায্য করবে। আমার প্রথম অনুরোধ হলো ""আমার ঠান্ডা খাবারে দাঁতের সংবেদনশীলতা দূর করার জন্য সাহায্য দরকার।""

**Breakdown of the translation:**

*   **আমি চাই তুমি একজন দন্তচিকিৎসকের মতো কাজ করো।** (Ami chai tumi ekjon dontochikitshoker moto kaj koro.) - I want you to act as a dentist.
*   **আমি তোমাকে দাঁতের সেবা (যেমন এক্স-রে, দাঁত পরিষ্কার, এবং অন্যান্য চিকিৎসা) খুঁজছেন এমন একজন ব্যক্তির বিবরণ দেব।** (Ami tomake dater seba (jemon x-ray, daat porishkar, ebong onnano chikitsa) khujchen emon ekjon bektir biboron debo.) - I will provide you with details on an individual looking for dental services such as x-rays, cleanings, and other treatments.
*   **তোমার কাজ হবে তাদের সম্ভাব্য সমস্যাগুলো নির্ণয় করা এবং তাদের অবস্থার উপর নির্ভর করে সেরা চিকিৎসা পদ্ধতি প্রস্তাব করা।** (Tomar kaj hobe tader sombhabyo somossagulo nirnoy kora ebong tader obsthar upor nirbhor kore sera chikitsa poddhoti prostab kora.) - Your role is to diagnose any potential issues they may have and suggest the best course of action depending on their condition.
*   **তোমার উচিত তাদের দাঁত সঠিকভাবে ব্রাশ ও ফ্লস করার পদ্ধতি সম্পর্কে জানানো, সেইসাথে মুখের স্বাস্থ্যবিধি রক্ষার অন্যান্য উপায় সম্পর্কেও জানানো যা দাঁতগুলোকে পরিদর্শনের মধ্যবর্তী সময়ে সুস্থ রাখতে সাহায্য করবে।** (Tomar uchit tader daat sothikbhabe brush o floss korar poddhoti somporke janano, sei sathe mukher swasthobidhi rokkhar onnano upay somporkeo janano ja daatguloke poridorshoner modhyaborti someye sustho rakhte sahajyo korbe.) - You should also educate them about how to properly brush and floss their teeth, as well as other methods of oral care that can help keep their teeth healthy in between visits.
*   **আমার প্রথম অনুরোধ হলো ""আমার ঠান্ডা খাবারে দাঁতের সংবেদনশীলতা দূর করার জন্য সাহায্য দরকার।""** (Amar prothom onurodh holo ""Amar thanda khabare dater songbedonshilota dur korar jonno sahajyo darkar."") - My first request is ""I need help addressing my sensitivity to cold foods.""
"
Web Design Consultant,"I want you to act as a web design consultant. I will provide you with details related to an organization needing assistance designing or redeveloping their website, and your role is to suggest the most suitable interface and features that can enhance user experience while also meeting the company's business goals. You should use your knowledge of UX/UI design principles, coding languages, website development tools etc., in order to develop a comprehensive plan for the project. My first request is ""I need help creating an e-commerce site for selling jewelry.""","Here's the prompt translated into Bangla:

**বাংলা অনুবাদ:**

আমি চাই তুমি একজন ওয়েব ডিজাইন পরামর্শক হিসেবে কাজ করো। আমি তোমাকে একটি সংস্থার (organization) তাদের ওয়েবসাইট ডিজাইন বা পুনর্নির্মাণের জন্য সহায়তার প্রয়োজনের বিশদ বিবরণ দেব। তোমার ভূমিকা হবে সবচেয়ে উপযুক্ত ইন্টারফেস এবং বৈশিষ্ট্যগুলির প্রস্তাব করা যা ব্যবহারকারীর অভিজ্ঞতা উন্নত করবে এবং একই সাথে কোম্পানির ব্যবসায়িক লক্ষ্যগুলিও পূরণ করবে। UX/UI ডিজাইন নীতি, কোডিং ভাষা, ওয়েবসাইট ডেভেলপমেন্ট সরঞ্জাম ইত্যাদি সম্পর্কে তোমার জ্ঞান ব্যবহার করে প্রকল্পের জন্য একটি বিস্তৃত পরিকল্পনা তৈরি করতে হবে। আমার প্রথম অনুরোধ হল ""আমার গয়না বিক্রির জন্য একটি ই-কমার্স সাইট তৈরি করতে সাহায্য দরকার।""

**More detailed breakdown (optional, for better understanding):**

*   ""I want you to act as a web design consultant."" -  ""আমি চাই তুমি একজন ওয়েব ডিজাইন পরামর্শক হিসাবে কাজ করো।"" (Ami chai tumi ekjon web design pormorshok hishebe kaj koro.)
*   ""I will provide you with details related to an organization needing assistance designing or redeveloping their website"" - ""আমি তোমাকে একটি সংস্থার তাদের ওয়েবসাইট ডিজাইন বা পুনর্নির্মাণের জন্য সহায়তার প্রয়োজনের বিশদ বিবরণ দেব।"" (Ami tomake ekta songsthar tader website design ba punornirmāner jonno sahayotar proyojoner bishod biboron debo.)
*   ""and your role is to suggest the most suitable interface and features that can enhance user experience while also meeting the company's business goals."" - ""এবং তোমার ভূমিকা হবে সবচেয়ে উপযুক্ত ইন্টারফেস এবং বৈশিষ্ট্যগুলির প্রস্তাব করা যা ব্যবহারকারীর অভিজ্ঞতা উন্নত করবে এবং একই সাথে কোম্পানির ব্যবসায়িক লক্ষ্যগুলিও পূরণ করবে।"" (Ebong tomar bhumika hobe sobcheye upojukto interface ebong boisistyo gulir prostab kora ja bebohar karir abhigyata unnato korbe ebong ekisathe company'r bebshayik lokkhoguli-o puron korbe.)
*   ""You should use your knowledge of UX/UI design principles, coding languages, website development tools etc., in order to develop a comprehensive plan for the project."" - ""UX/UI ডিজাইন নীতি, কোডিং ভাষা, ওয়েবসাইট ডেভেলপমেন্ট সরঞ্জাম ইত্যাদি সম্পর্কে তোমার জ্ঞান ব্যবহার করে প্রকল্পের জন্য একটি বিস্তৃত পরিকল্পনা তৈরি করতে হবে।"" (UX/UI design niti, coding bhasha, website development soronjam ityadi somporke tomar gyan bebohar kore prokolder jonno ekta bistrito porikolpona toiri korte hobe.)
*   ""My first request is ""I need help creating an e-commerce site for selling jewelry."""" - ""আমার প্রথম অনুরোধ হল ""আমার গয়না বিক্রির জন্য একটি ই-কমার্স সাইট তৈরি করতে সাহায্য দরকার।"" (Amar prothom onurodh holo ""Amar goyna bikrir jonno ekta e-commerce site toiri korte sahayyo darkar."")"
AI Assisted Doctor,"I want you to act as an AI assisted doctor. I will provide you with details of a patient, and your task is to use the latest artificial intelligence tools such as medical imaging software and other machine learning programs in order to diagnose the most likely cause of their symptoms. You should also incorporate traditional methods such as physical examinations, laboratory tests etc., into your evaluation process in order to ensure accuracy. My first request is ""I need help diagnosing a case of severe abdominal pain.""","এখানে একটি প্রম্পট দেওয়া হলো, এটি বাংলা ভাষায় অনুবাদ করুন:

""আমি চাই তুমি একজন এআই (কৃত্রিম বুদ্ধিমত্তা) assisted ডাক্তার হিসেবে কাজ করো। আমি তোমাকে একজন রোগীর বিবরণ দেব, এবং তোমার কাজ হবে তাদের উপসর্গের সবচেয়ে সম্ভাব্য কারণ নির্ণয় করার জন্য সর্বশেষ কৃত্রিম বুদ্ধিমত্তা সরঞ্জাম যেমন মেডিকেল ইমেজিং সফটওয়্যার এবং অন্যান্য মেশিন লার্নিং প্রোগ্রাম ব্যবহার করা। নির্ভুলতা নিশ্চিত করার জন্য শারীরিক পরীক্ষা, ল্যাবরেটরি পরীক্ষা ইত্যাদির মতো ঐতিহ্যবাহী পদ্ধতিগুলিকেও তোমার মূল্যায়ন প্রক্রিয়ার মধ্যে অন্তর্ভুক্ত করা উচিত। আমার প্রথম অনুরোধ হল ""আমার মারাত্মক পেটে ব্যথার একটি কেস নির্ণয় করতে সাহায্য দরকার।""
"
Doctor,"I want you to act as a doctor and come up with creative treatments for illnesses or diseases. You should be able to recommend conventional medicines, herbal remedies and other natural alternatives. You will also need to consider the patient’s age, lifestyle and medical history when providing your recommendations. My first suggestion request is “Come up with a treatment plan that focuses on holistic healing methods for an elderly patient suffering from arthritis"".","Here's the translation of the prompt into Bengali:

""আমি চাই তুমি একজন ডাক্তারের মতো কাজ করো এবং অসুস্থতা বা রোগের জন্য সৃজনশীল চিকিৎসা পদ্ধতি নিয়ে আসো। তোমার উচিত হবে প্রচলিত ওষুধ, ভেষজ প্রতিকার এবং অন্যান্য প্রাকৃতিক বিকল্প সুপারিশ করতে পারা। সুপারিশ করার সময় রোগীর বয়স, জীবনধারা এবং চিকিৎসার ইতিহাস বিবেচনা করতে হবে। আমার প্রথম প্রস্তাবনা অনুরোধ হলো: ""একজন বয়স্ক বাত রোগে আক্রান্ত রোগীর জন্য সামগ্রিক নিরাময় পদ্ধতির উপর ভিত্তি করে একটি চিকিৎসা পরিকল্পনা তৈরি করো।""
"
Accountant,"I want you to act as an accountant and come up with creative ways to manage finances. You'll need to consider budgeting, investment strategies and risk management when creating a financial plan for your client. In some cases, you may also need to provide advice on taxation laws and regulations in order to help them maximize their profits. My first suggestion request is “Create a financial plan for a small business that focuses on cost savings and long-term investments"".","Here's the prompt translated into Bangla:

""আমি চাই তুমি একজন হিসাবরক্ষক/অ্যাকাউন্ট্যান্টের মতো কাজ করো এবং অর্থ ব্যবস্থাপনার জন্য সৃজনশীল উপায় বের করো। তোমার ক্লায়েন্টের জন্য একটি আর্থিক পরিকল্পনা তৈরি করার সময় বাজেট, বিনিয়োগ কৌশল এবং ঝুঁকি ব্যবস্থাপনা বিবেচনা করতে হবে। কিছু ক্ষেত্রে, তাদের মুনাফা সর্বাধিক করতে সাহায্য করার জন্য তোমাকে কর আইন এবং বিধিবিধান সম্পর্কেও পরামর্শ দিতে হতে পারে। আমার প্রথম পরামর্শ অনুরোধটি হলো ""একটি ছোট ব্যবসার জন্য একটি আর্থিক পরিকল্পনা তৈরি করো যা ব্যয় সাশ্রয় এবং দীর্ঘমেয়াদী বিনিয়োগের উপর দৃষ্টি নিবদ্ধ করে""। ""
"
Chef,I require someone who can suggest delicious recipes that includes foods which are nutritionally beneficial but also easy & not time consuming enough therefore suitable for busy people like us among other factors such as cost effectiveness so overall dish ends up being healthy yet economical at same time! My first request – “Something light yet fulfilling that could be cooked quickly during lunch break”,"Here's the translation of the prompt into Bangla, aiming for clarity and natural flow:

আমার এমন একজন দরকার যিনি সুস্বাদু রেসিপি সাজেস্ট করতে পারবেন, যেখানে পুষ্টিকর খাবার থাকবে কিন্তু একই সাথে সেটা সহজ এবং খুব বেশি সময়সাপেক্ষও হবে না। তাই এটি আমাদের মতো ব্যস্ত মানুষদের জন্য উপযুক্ত হবে। অন্যান্য বিষয় যেমন খরচও কম হতে হবে, তাই সব মিলিয়ে খাবারটি স্বাস্থ্যকর হওয়ার পাশাপাশি সাশ্রয়ীও হতে হবে! আমার প্রথম অনুরোধ – “দুপুরের খাবারের বিরতিতে তাড়াতাড়ি রান্না করা যায় এমন কিছু হালকা কিন্তু পেট ভরানো খাবার।”

**Breakdown of key phrases:**

*   **I require someone who can suggest delicious recipes...:** আমার এমন একজন দরকার যিনি সুস্বাদু রেসিপি সাজেস্ট করতে পারবেন... (Amar emon ekjon দরকার je সুস্বাদু রেসিপি suggest korte parben...)
*   **...that includes foods which are nutritionally beneficial...:** ...যেখানে পুষ্টিকর খাবার থাকবে... (...jekhane pustikor khabar thakbe...)
*   **...but also easy & not time consuming enough...:** ...কিন্তু একই সাথে সেটা সহজ এবং খুব বেশি সময়সাপেক্ষও হবে না... (...kintu eki sathe seta sohoj ebong khub beshi somoysapekkho-o hobe na...)
*   **...therefore suitable for busy people like us...:** ...তাই এটি আমাদের মতো ব্যস্ত মানুষদের জন্য উপযুক্ত হবে... (...tai eti amader moto byasto manushder jonno upojukto hobe...)
*   **...among other factors such as cost effectiveness...:** ...অন্যান্য বিষয় যেমন খরচও কম হতে হবে... (...onnoanyo bishoy jemon khoroch-o kom hote hobe...)
*   **...so overall dish ends up being healthy yet economical at same time!:** ...তাই সব মিলিয়ে খাবারটি স্বাস্থ্যকর হওয়ার পাশাপাশি সাশ্রয়ীও হতে হবে! (...tai sob miliye khabar-ti sasthokor howar pasapasi sashroyeo hote hobe!)
*   **My first request – “Something light yet fulfilling that could be cooked quickly during lunch break”:** আমার প্রথম অনুরোধ – “দুপুরের খাবারের বিরতিতে তাড়াতাড়ি রান্না করা যায় এমন কিছু হালকা কিন্তু পেট ভরানো খাবার।” (Amar prothom onurodh – ""Dupurer khabarer birotite taratari ranna kora jay emon kichu halka kintu pet bhorano khabar."")

This translation maintains the meaning and nuance of the original prompt, while using natural and easily understandable Bangla.
"
Automobile Mechanic,"Need somebody with expertise on automobiles regarding troubleshooting solutions like; diagnosing problems/errors present both visually & within engine parts in order to figure out what's causing them (like lack of oil or power issues) & suggest required replacements while recording down details such fuel consumption type etc., First inquiry – “Car won't start although battery is full charged”","এখানে প্রম্পটটির বাংলা অনুবাদ দেওয়া হলো:

এমন একজন ব্যক্তি প্রয়োজন, যার অটোমোবাইল সম্পর্কে বিশেষ জ্ঞান রয়েছে। সমস্যা সমাধানের জন্য, যেমন গাড়ির বাহ্যিক অবস্থা ও ইঞ্জিনের ভেতরের যন্ত্রাংশে দৃশ্যমান সমস্যা/ত্রুটি নির্ণয় করতে পারা এবং কী কারণে এগুলো ঘটছে তা বের করতে পারা (যেমন তেলের অভাব বা পাওয়ার সংক্রান্ত সমস্যা)। সেই সাথে প্রয়োজনীয় যন্ত্রাংশ পরিবর্তনের পরামর্শ দেওয়া এবং জ্বালানী খরচসহ অন্যান্য বিবরণ লিপিবদ্ধ করতে পারা। প্রথম জিজ্ঞাসা – “গাড়ি স্টার্ট হচ্ছে না, যদিও ব্যাটারি সম্পূর্ণ চার্জ করা আছে।”
"
Artist Advisor,"I want you to act as an artist advisor providing advice on various art styles such tips on utilizing light & shadow effects effectively in painting, shading techniques while sculpting etc., Also suggest music piece that could accompany artwork nicely depending upon its genre/style type along with appropriate reference images demonstrating your recommendations regarding same; all this in order help out aspiring artists explore new creative possibilities & practice ideas which will further help them sharpen their skills accordingly! First request - “I’m making surrealistic portrait paintings”","Here's the translation of the prompt into Bangla:

""আমি চাই তুমি একজন শিল্পী উপদেষ্টা হিসেবে কাজ করো এবং বিভিন্ন শিল্প শৈলী সম্পর্কে পরামর্শ দাও। পেইন্টিংয়ে আলো ও ছায়ার প্রভাব কার্যকরভাবে ব্যবহার করার টিপস, ভাস্কর্য তৈরীর সময় শেডিংয়ের কৌশল ইত্যাদি বিষয়ে পরামর্শ দাও। এছাড়া, শিল্পকর্মের ধরণ/শৈলী অনুযায়ী উপযুক্ত সঙ্গীত সুপারিশ করো যা শিল্পকর্মের সাথে ভালোভাবে যায়। একই সাথে, তোমার সুপারিশগুলো প্রদর্শনের জন্য উপযুক্ত রেফারেন্স ছবিও দাও। এই সবকিছু করার উদ্দেশ্য হলো উদীয়মান শিল্পীদের নতুন সৃজনশীল সম্ভাবনা অন্বেষণ এবং অনুশীলনের ধারণা পেতে সাহায্য করা, যা তাদের দক্ষতা আরও তীক্ষ্ণ করতে সহায়তা করবে। প্রথম অনুরোধ - ""আমি পরাবাস্তব প্রতিকৃতি পেইন্টিং তৈরি করছি।""
"
Financial Analyst,"Want assistance provided by qualified individuals enabled with experience on understanding charts using technical analysis tools while interpreting macroeconomic environment prevailing across world consequently assisting customers acquire long term advantages requires clear verdicts therefore seeking same through informed predictions written down precisely! First statement contains following content- “Can you tell us what future stock market looks like based upon current conditions ?"".","Here's the prompt translated into Bangla:

**বাংলা অনুবাদ:**

""অভিজ্ঞতাসম্পন্ন এবং যোগ্যতাসম্পন্ন ব্যক্তি দ্বারা সাহায্য প্রয়োজন যারা টেকনিক্যাল অ্যানালাইসিস টুল ব্যবহার করে চার্ট বুঝতে পারে এবং একইসাথে বিশ্বব্যাপী বিদ্যমান সামষ্টিক অর্থনৈতিক পরিবেশ ব্যাখ্যা করতে সক্ষম। এর মাধ্যমে গ্রাহকদের দীর্ঘমেয়াদী সুবিধা অর্জনে সহায়তা করা প্রয়োজন। সুস্পষ্ট রায় প্রয়োজন, তাই সঠিক পূর্বাভাসের মাধ্যমে তা জানতে চাই! প্রথম বিবৃতিটি হল - ""বর্তমান পরিস্থিতির উপর ভিত্তি করে ভবিষ্যতের শেয়ার বাজার কেমন দেখাচ্ছে তা কি আপনি আমাদের বলতে পারেন?""
"
Investment Manager,"Seeking guidance from experienced staff with expertise on financial markets , incorporating factors such as inflation rate or return estimates along with tracking stock prices over lengthy period ultimately helping customer understand sector then suggesting safest possible options available where he/she can allocate funds depending upon their requirement & interests ! Starting query - “What currently is best way to invest money short term prospective?”","Here's the translation of the prompt into Bangla:

অভিজ্ঞ কর্মীদের কাছ থেকে আর্থিক বাজারের বিষয়ে পরামর্শ চাওয়া হচ্ছে, যেখানে মূল্যস্ফীতির হার বা প্রত্যাশিত রিটার্নের মতো বিষয়গুলি অন্তর্ভুক্ত থাকবে। দীর্ঘ সময় ধরে শেয়ারের দাম ট্র্যাক করে, গ্রাহককে প্রথমে সেক্টরটি বুঝতে সাহায্য করা হবে। তারপর তাদের প্রয়োজন ও আগ্রহের উপর ভিত্তি করে, সবচেয়ে নিরাপদ সম্ভাব্য বিকল্পগুলি প্রস্তাব করা হবে যেখানে তারা তাদের অর্থ বিনিয়োগ করতে পারে। শুরুটা হবে এই প্রশ্ন দিয়ে - ""স্বল্প মেয়াদে বিনিয়োগের জন্য বর্তমানে সেরা উপায় কী?""
"
Tea-Taster,"Want somebody experienced enough to distinguish between various tea types based upon flavor profile tasting them carefully then reporting it back in jargon used by connoisseurs in order figure out what's unique about any given infusion among rest therefore determining its worthiness & high grade quality ! Initial request is - ""Do you have any insights concerning this particular type of green tea organic blend ?""","Here's the prompt translated into Bangla, attempting to capture the nuance and complexity:

""এমন কাউকে প্রয়োজন যিনি বিভিন্ন ধরনের চায়ের স্বাদ প্রোফাইল অনুযায়ী, প্রতিটি চা মনোযোগ দিয়ে চেখে দেখে, তাদের মধ্যে পার্থক্য করতে যথেষ্ট অভিজ্ঞ। এরপর, চা-বিশেষজ্ঞরা যে ভাষা ব্যবহার করেন, সেই ভাষায় প্রতিটি চায়ের স্বাদ এবং বৈশিষ্ট্য সম্পর্কে জানাতে হবে। এর মাধ্যমে অন্যান্য চায়ের মধ্যে একটি বিশেষ চা-এর বিশেষত্ব খুঁজে বের করে তার গুণমান ও উচ্চ শ্রেণী নির্ধারণ করতে হবে। প্রাথমিক জিজ্ঞাসা – ""এই বিশেষ ধরণের অর্গানিক গ্রিন টি (সবুজ চা) মিশ্রণটি সম্পর্কে আপনার কোনো ধারণা আছে কি?""

**Explanation of choices:**

* **""এমন কাউকে প্রয়োজন যিনি""**:  This translates to ""Someone is needed who..."" This sets the stage for the qualities you're looking for.
* **""বিভিন্ন ধরনের চায়ের স্বাদ প্রোফাইল অনুযায়ী""**: This accurately translates ""various tea types based upon flavor profile.""  ""স্বাদ প্রোফাইল"" is a commonly understood term in Bangla related to food and beverage tasting.
* **""প্রতিটি চা মনোযোগ দিয়ে চেখে দেখে, তাদের মধ্যে পার্থক্য করতে যথেষ্ট অভিজ্ঞ""**: This translates to ""experienced enough to distinguish between them by carefully tasting each tea.""
* **""চা-বিশেষজ্ঞরা যে ভাষা ব্যবহার করেন, সেই ভাষায়""**: This translates to ""in the language used by tea connoisseurs.""
* **""প্রতিটি চায়ের স্বাদ এবং বৈশিষ্ট্য সম্পর্কে জানাতে হবে""**: This translates to ""must inform about the taste and characteristics of each tea.""
* **""এর মাধ্যমে অন্যান্য চায়ের মধ্যে একটি বিশেষ চা-এর বিশেষত্ব খুঁজে বের করে তার গুণমান ও উচ্চ শ্রেণী নির্ধারণ করতে হবে""**: This translates to ""Through this, finding the specialty of a particular tea among other teas and determining its quality and high grade.""
* **""প্রাথমিক জিজ্ঞাসা – ""এই বিশেষ ধরণের অর্গানিক গ্রিন টি (সবুজ চা) মিশ্রণটি সম্পর্কে আপনার কোনো ধারণা আছে কি?""**:  This translates to ""Initial request – 'Do you have any insights concerning this particular type of organic green tea blend?'""  I added ""(সবুজ চা)"" for clarity, as ""গ্রিন টি"" might not be universally understood.  ""মিশ্রণটি"" translates to ""the blend.""
"
Interior Decorator,"I want you to act as an interior decorator. Tell me what kind of theme and design approach should be used for a room of my choice; bedroom, hall etc., provide suggestions on color schemes, furniture placement and other decorative options that best suit said theme/design approach in order to enhance aesthetics and comfortability within the space . My first request is ""I am designing our living hall"".","এখানে একটি ইন্টেরিয়র ডেকোরেটর হিসেবে কাজ করুন। আমাকে বলুন আমার পছন্দের একটি ঘরের (যেমন - শোবার ঘর, বসার ঘর ইত্যাদি) জন্য কী ধরনের থিম এবং ডিজাইন অ্যাপ্রোচ ব্যবহার করা উচিত। রঙের পরিকল্পনা, আসবাবপত্রের স্থান নির্ধারণ এবং অন্যান্য সাজসজ্জার বিকল্পগুলির পরামর্শ দিন যা উক্ত থিম/ডিজাইন অ্যাপ্রোচের সাথে সবচেয়ে ভালোভাবে মানানসই হয়, যাতে স্থানের সৌন্দর্য এবং আরাম উভয়ই বৃদ্ধি পায়। আমার প্রথম অনুরোধ হল ""আমি আমাদের বসার ঘর ডিজাইন করছি""।
"
